use_year	permit_number	permit_holder_name	pod_index	use_type	reported_acft	reported_acres	reported_rate	kwhrs	kwh_demand	begin_meter	end_meter	meter_units	comments	crop_type1	crop_type2	reported_inches	use_january	use_february	use_march	use_april	use_may	use_june	use_july	use_august	use_september	use_october	use_november	use_december	total_use
1987	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						4389000.0	3942000.0	3181500.0	3549000.0	4769280.0	5216400.0	5346000.0	4558600.0	3926880.0	3850000.0	3740000.0	3894000.0	50362660.0
1988	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						4313400.0	4097100.0	3067050.0	3808800.0	4078800.0	6859080.0	5981040.0	5088420.0	4048380.0	4433940.0	4710600.0	513540.0	51000150.0
1989	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						4826520.0	7560000.0	3541500.0	3952500.0	5071500.0	4600500.0	8206500.0	5890500.0	3889500.0	4587000.0	5001000.0	4335000.0	61462020.0
1990	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						4723500.0	4900200.0	6171300.0	5896500.0	6843600.0	6325100.0	6269800.0	6445900.0	4732800.0	4297700.0	3908300.0	3734900.0	64249600.0
1991	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						3444500.0	2983600.0	3604200.0	3731700.0	4366700.0	4867400.0	4879700.0	5886000.0	4758700.0	4178200.0	4121900.0	3989800.0	50812400.0
1992	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						5065000.0	4675200.0	3827200.0	3759200.0	5481000.0	5381900.0	4641000.0	5380100.0	4657800.0	4527800.0	3532000.0	3920800.0	54849000.0
1993	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						3772100.0	4008300.0	3987800.0	4067400.0	5028200.0	5206700.0	4579600.0	4640500.0	4202300.0	3670000.0	3372500.0	3621100.0	50156500.0
1994	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						4332100.0	3649500.0	4751000.0	4306200.0	5661700.0	6115000.0	5219500.0	5798700.0	4627100.0	3153900.0	3153900.0	5002900.0	55771500.0
1995	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						5247700.0	4648300.0	5621300.0	4707900.0	6463200.0	7323900.0	4804500.0	5577500.0	4965900.0	4384500.0	4339200.0	4819600.0	62903500.0
1996	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						4684700.0	5928400.0	5482200.0	4885800.0	4352900.0	5221700.0	5039500.0	5685600.0	4607400.0	6399200.0	7376700.0	7261300.0	66925400.0
1997	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						6983900.0	6825100.0	8020400.0	5532400.0	4703700.0	6145200.0	5037600.0	5292000.0	4426700.0	4275500.0	4167900.0	5105300.0	66515700.0
1998	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						5175800.0	4858000.0	4851900.0	4242500.0	4154000.0	4614400.0	5080900.0	5865300.0	4893700.0	3932400.0	4001900.0	4201400.0	55872200.0
1999	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						3444900.0	3447000.0	3845700.0	3891400.0	4461800.0	4747600.0	5661400.0	6236500.0	3590600.0	3873300.0	4432200.0	5105200.0	52737600.0
2000	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						5222600.0	3061400.0	3385300.0	3861000.0	3264200.0	2896200.0	4304100.0	5651100.0	4857800.0	5216600.0	3644100.0	4395300.0	49759700.0
2001	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						4820300.0	3749600.0	3682200.0	4243400.0	5192300.0	5452600.0	5892400.0	5573900.0	5068900.0	6070600.0	6240900.0	5608900.0	61596000.0
2002	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						4813400.0	3825400.0	4275400.0	4448100.0	4659500.0	4699100.0	6750900.0	5679900.0	4344900.0	4269700.0	4072400.0	4224800.0	56063500.0
2003	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						4698600.0	4944300.0	4424900.0	51161400.0	4659700.0	4741300.0	0.0	0.0	0.0	0.0	0.0	0.0	74630200.0
