stage	SHIFT	flow_cfs	STOR
6.21	0.00	1559.66	
6.22	0.00	1568.00	
6.23	0.00	1576.37	
6.24	0.00	1584.76	
6.25	0.00	1593.18	
6.26	0.00	1601.62	
6.27	0.00	1610.09	
6.28	0.00	1618.58	
6.29	0.00	1627.10	
6.30	0.00	1635.64	
6.31	0.00	1644.21	
6.32	0.00	1652.80	
6.33	0.00	1661.42	
6.34	0.00	1670.06	
6.35	0.00	1678.73	
6.36	0.00	1687.42	
6.37	0.00	1696.13	
6.38	0.00	1704.87	
6.39	0.00	1713.64	
6.40	0.00	1722.43	
6.41	0.00	1731.25	
6.42	0.00	1740.09	
6.43	0.00	1748.96	
6.44	0.00	1757.85	
6.45	0.00	1766.76	
6.46	0.00	1775.70	
6.47	0.00	1784.67	
6.48	0.00	1793.66	
6.49	0.00	1802.68	
6.50	0.00	1811.72	
6.51	0.00	1820.79	
6.52	0.00	1829.88	
6.53	0.00	1839.00	
6.54	0.00	1848.14	
6.55	0.00	1857.31	
6.56	0.00	1866.50	
6.57	0.00	1875.72	
6.58	0.00	1884.96	
6.59	0.00	1894.23	
6.60	0.00	1903.52	
6.61	0.00	1912.84	
6.62	0.00	1922.18	
6.63	0.00	1931.55	
6.64	0.00	1940.95	
6.65	0.00	1950.37	
6.66	0.00	1959.81	
6.67	0.00	1969.28	
6.68	0.00	1978.78	
6.69	0.00	1988.30	
6.70	0.00	1997.85	
6.71	0.00	2007.42	
6.72	0.00	2017.02	
6.73	0.00	2026.64	
6.74	0.00	2036.29	
6.75	0.00	2045.96	
6.76	0.00	2055.66	
6.77	0.00	2065.39	
6.78	0.00	2075.14	
6.79	0.00	2084.91	
6.80	0.00	2094.72	
6.81	0.00	2104.54	
6.82	0.00	2114.40	
6.83	0.00	2124.27	
6.84	0.00	2134.18	
6.85	0.00	2144.11	
6.86	0.00	2154.06	
6.87	0.00	2164.04	
6.88	0.00	2174.05	
6.89	0.00	2184.08	
6.90	0.00	2194.14	
6.91	0.00	2204.22	
6.92	0.00	2214.33	
6.93	0.00	2224.46	
6.94	0.00	2234.62	
6.95	0.00	2244.81	
6.96	0.00	2255.02	
6.97	0.00	2265.26	
6.98	0.00	2275.52	
6.99	0.00	2285.81	
7.00	0.00	2296.13	
7.01	0.00	2306.47	
7.02	0.00	2316.83	
7.03	0.00	2327.22	
7.04	0.00	2337.64	
7.05	0.00	2348.09	
7.06	0.00	2358.56	
7.07	0.00	2369.05	
7.08	0.00	2379.57	
7.09	0.00	2390.12	
7.10	0.00	2400.69	
7.11	0.00	2411.29	
7.12	0.00	2421.92	
7.13	0.00	2432.57	
7.14	0.00	2443.25	
7.15	0.00	2453.95	
7.16	0.00	2464.68	
7.17	0.00	2475.43	
7.18	0.00	2486.21	
7.19	0.00	2497.02	
7.20	0.00	2507.85	
7.21	0.00	2518.71	
7.22	0.00	2529.60	
7.23	0.00	2540.51	
7.24	0.00	2551.45	
7.25	0.00	2562.41	
7.26	0.00	2573.40	
7.27	0.00	2584.41	
7.28	0.00	2595.46	
7.29	0.00	2606.52	
7.30	0.00	2617.62	
7.31	0.00	2628.74	
