wkt_geom,id,gwe_ft,well_depth,aquifer,x_2266,y_2266,x_2265,y_2265
Point (2932479.64042316051200032 -244082.69578209219616838),79,946,68,wsp,2932063.537,241770.1275,2932479.64,-244082.6958
Point (2928145.99613108998164535 -245772.08254001807654276),80,948.4,100,wsp,2927730.185,240085.7396,2928145.996,-245772.0825
Point (2927543.69302608910948038 -245507.65678660353296436),81,942,97,wsp,2927128.411,240350.6344,2927543.693,-245507.6568
Point (2926324.39649645565077662 -245463.58582770111388527),82,939,85,wsp,2925909.705,240395.8744,2926324.396,-245463.5858
Point (2920815.52663365378975868 -245786.77285965211922303),83,944,90,wsp,2920402.996,240078.1851,2920815.527,-245786.7729
Point (2911354.96078926883637905 -246183.41148977383272722),84,959.4,80,wsp,2910946.298,239690.8447,2911354.961,-246183.4115
Point (2908137.78078939253464341 -248093.15304221175028943),85,960,77,wsp,2907728.738,237785.0432,2908137.781,-248093.153
Point (2907550.16800402756780386 -249797.23011977184796706),86,960,90,wsp,2907139.762,236082.2976,2907550.168,-249797.2301
Point (2924385.27430474990978837 -253719.54546208668034524),87,955,96,wsp,2923963.427,232145.5451,2924385.274,-253719.5455
Point (2950851.157 -222192.9932),460,911.756667,0,wbv,0,0,2950851.157,-222192.9932
Point (2940131.322 -214216.9516),1463,919.116667,0,wbv,0,0,2940131.322,-214216.9516
Point (2918290.304 -191236.2815),1636,925.62,0,wbv,0,0,2918290.304,-191236.2815
Point (2961543.788 -228371.068),19886,954.126667,0,wsp,0,0,2961543.788,-228371.068
Point (2961520.924 -228409.1292),19887,954.65,0,wsp,0,0,2961520.924,-228409.1292
Point (2977142.136 -224974.6397),19894,963.463333,0,wsp,0,0,2977142.136,-224974.6397
Point (2955104.846 -220224.0759),19899,941.443333,0,wsp,0,0,2955104.846,-220224.0759
Point (2936654.416 -202411.973),19904,940.42,0,wsp,0,0,2936654.416,-202411.973
Point (2953585.739 -227716.8566),21858,914.356667,0,wbv,0,0,2953585.739,-227716.8566
Point (2907097.279 -174234.5625),24264,929.506667,0,wsp,0,0,2907097.279,-174234.5625
Point (2960528.049 -233757.3404),24280,930.71,0,wbv,0,0,2960528.049,-233757.3404
Point (2950855.151 -226283.8302),24287,911.186667,0,wbv,0,0,2950855.151,-226283.8302
Point (2906594.163 -180474.3534),24288,930.2,0,wsp,0,0,2906594.163,-180474.3534
Point (2964586.346 -238335.5176),24289,963.833333,0,wsp,0,0,2964586.346,-238335.5176
Point (2948037.895 -221264.64),126755,912.392316,0,wbv,0,0,2948037.895,-221264.64
Point (2945404.383 -217799.7355),126758,915.925563,0,wbv,0,0,2945404.383,-217799.7355
Point (2942486.106 -245696.9447),127512,929.12,0,wr,0,0,2942486.106,-245696.9447
Point (2939257.52 -239830.3723),130683,929.077088,0,wr,0,0,2939257.52,-239830.3723
Point (2934274.703 -211035.7291),130928,919.441558,0,wbv,0,0,2934274.703,-211035.7291
Point (2929325.708 -208905.7254),130936,922.217081,0,wbv,0,0,2929325.708,-208905.7254
Point (2932997.263 -211103.2083),131061,921.279658,0,wbv,0,0,2932997.263,-211103.2083
Point (2933641.797 -211069.3741),131210,921.146087,0,wbv,0,0,2933641.797,-211069.3741
Point (2929316.919 -208901.7694),132039,922.200432,0,wr,0,0,2929316.919,-208901.7694
