xy_id,group_block,Grouped,Aquifer_Units,start_x,start_y,start_z,end_z,Top_Screen_Elev,Bottom_Screen_Elev,bh_id,model_unit,model_unit_4_lay
2948025.811_-221268.405,6,Aquifer,,2948025.811,-221268.4051,844.6302628,835.6302628,,,bh_310,drop,drop
2948037.898_-221264.644,1,,Wahpeton Buried Valley,2948037.898,-221264.6436,,,724.95,719.95,bh_311,outside_grid,outside_grid
2948039.676_-221267.341,1,Clay,,2948039.676,-221267.3411,966.627016,959.627016,,,bh_312,drop,drop
2948039.676_-221267.341,2,Aquifer,,2948039.676,-221267.3411,959.627016,943.627016,,,bh_312,drop,drop
2948039.676_-221267.341,3,Clay,,2948039.676,-221267.3411,943.627016,929.627016,,,bh_312,drop,drop
2948039.676_-221267.341,4,Aquifer,,2948039.676,-221267.3411,929.627016,924.627016,,,bh_312,drop,drop
2948039.676_-221267.341,5,Clay,,2948039.676,-221267.3411,924.627016,856.627016,,,bh_312,drop,drop
2948039.676_-221267.341,6,Aquifer,Wahpeton,2948039.676,-221267.3411,856.627016,719.627016,,,bh_312,drop,drop
2948039.676_-221267.341,7,Bedrock,,2948039.676,-221267.3411,719.627016,717.627016,,,bh_312,drop,drop
2948039.676_-221267.341,8,Clay,,2948039.676,-221267.3411,717.627016,711.627016,,,bh_312,drop,drop
2948039.676_-221267.341,9,Bedrock,,2948039.676,-221267.3411,711.627016,686.627016,,,bh_312,drop,drop
2948099.929_-221345.536,1,,Wahpeton Sand Plain,2948099.929,-221345.5364,,,837.26,831.26,bh_313,outside_grid,outside_grid
2948101.707_-221348.234,1,Clay,,2948101.707,-221348.2337,966.4942397,960.4942397,,,bh_314,drop,drop
2948101.707_-221348.234,2,Aquifer,,2948101.707,-221348.2337,960.4942397,958.4942397,,,bh_314,drop,drop
2948101.707_-221348.234,3,Clay,,2948101.707,-221348.2337,958.4942397,953.4942397,,,bh_314,drop,drop
