site_index,date_meas,gwe_navd88,dtw_ft,mp_elev_navd88,loc_id,aquifer,purpose,elev_type,total_depth,top_screen_depth,bottom_screen_depth,x_2265,y_2265,lse_navd88
29771,38146,939.57,24.4,963.97,13304717DCBD1,Undefined,Observation Well,Survey 0.01 ft,32,22,32,2948699.664,-220436.3865,963.43
30234,38146,967.78,4.04,971.82,13304720ACDDC,Wahpeton Shallow Sand,Observation Well,Topographic Map,26,14,24,2949514.237,-223730.1286,971.82
30235,38146,933.68,40.14,973.82,13304720ABDDAC,Wahpeton Shallow Sand,Observation Well,Topographic Map,47,37,47,2949566.348,-222290.3996,973.82
30236,38146,938.42,37.4,975.82,13304720ABABC,Wahpeton Shallow Sand,Observation Well,Topographic Map,44,34,44,2949067.937,-221455.9955,975.82
30237,38146,967.87,4.95,972.82,13304720ADD5,Wahpeton Shallow Sand,Observation Well,Topographic Map,25,15,25,2950738.58,-223420.9904,972.82
126755,40336,906.93,61.1,968.03,13304720BAA5,Wahpeton Buried Valley,Observation Well - PRESENS,Global Position Survey,280,240,245,2948037.898,-221264.6436,965.78
126756,40336,906.97,60.7,967.67,13304720BAA6,Wahpeton Sand Plain,Observation Well,Global Position Survey,131,125,130,2948024.033,-221265.7076,965.85
126757,40336,938.13,30.1,968.23,13304720BAA7,Wahpeton Shallow Sand,Observation Well,Global Position Survey,53,39,44,2948009.897,-221266.42,965.94
126758,40336,913.89,49.66,963.55,13304718ADA2,Wahpeton Buried Valley,Observation Well - PRESENS,Global Position Survey,232,217,222,2945404.381,-217799.7398,961.14
126759,40336,932.32,36.22,968.54,13304733CBDB,Wahpeton Shallow Sand,Observation Well - Plugged,Global Position Survey,240,60,65,2952298.437,-234999.4102,966.11
127050,39027,947.21,16.5,963.71,13304720BBBAB6,Wahpeton Shallow Sand,Observation Well,Survey 0.01 ft,26,10,20,2946082.162,-221435.4382,961.71
127512,40814,927.54,34.13,961.67,13204812CAA2,Unnamed,Observation Well,Global Position Survey,340,270,275,2942397.776,-245591.6699,959.69
130679,43291,923.18,23.75,946.93,13304810DDD,Unnamed,Observation Well - PRESENS,Global Position Survey,479,437,442,2929203.584,-216522.0053,943.12
130680,43291,932.32,13.85,946.17,13304810DDD2,Wahpeton Shallow Sand,Observation Well - PRESENS,Global Position Survey,80,75,80,2929203.584,-216522.0053,943.24
130681,43291,923.73,29.33,953.06,13304822AAA,Unnamed,Observation Well - PRESENS,Global Position Survey,531,491,496,2929451.179,-222466.4206,949.03
130683,43291,924.41,35.35,959.76,13204802ADC,Unnamed,Observation Well - PRESENS,Global Position Survey,454,310,315,2939257.52,-239830.3675,957.66
130781,43404,925.66,29.65,955.31,13304826DCC,Unnamed,Observation Well - PRESENS,Global Position Survey,400,373,378,2933249.801,-232211.8987,954.63
130794,43724,923.72,35.11,958.83,13304823CCC,Unnamed,Observation Well - Plugged,DEM - 30 meter,540,365,370,2930359.487,-227020.0635,955.83
130928,43724,921.14,32.19,953.33,13304802DDD,Wahpeton Buried Valley,Observation Well - PRESENS,Global Position Survey,320,230,235,2934274.7,-211035.7249,950.79
130936,43746,922.8,26.11,948.91,13304802CBB,Wahpeton Buried Valley,Observation Well - PRESENS,Global Position Survey,452,262,267,2929325.71,-208905.721,946.32
130971,32597,914.38,70.18,984.56,13304720BADCA3,Wahpeton Shallow Sand,Production Well,Topographic Map,92,74,85,2947955.652,-222334.3696,982.82
131061,44111,922.41,28.9,951.31,13304802DCD,Wahpeton Buried Valley,Observation Well - Plugged,Global Position Survey,265,254,264,2932997.265,-211103.2088,949.21
131062,44111,932.42,21.34,953.76,13304802DDD2,Undefined,Observation Well - Plugged,Global Position Survey,480,363,373,2934274.7,-211035.7249,951.21
131208,44350,922.4402703,30.74113514,953.18,13304802DDD3,Wahpeton Buried Valley,Test Well,Global Position Survey,288,223,283,2934274.7,-211035.7249,951.31
131210,44350,922.3888372,29.30069767,951.69,13304802DDC,Wahpeton Buried Valley,Observation Well - Plugged,Global Position Survey,252,240,250,2933641.795,-211069.3712,949.39
131254,44355,922.31,29.5,951.81,13304802DDD4,Wahpeton Buried Valley,Domestic Well - Plugged,Global Position Survey,0,0,0,2934274.7,-211035.7249,951.12
132039,44866,922.5629412,26.778,949.34,13304802CBB2,Undefined,Observation Well - PRESENS,Global Position Survey,400,350,355,2929316.917,-208901.7726,946.32
132040,44866,927.68,18.76,946.44,13404832DAA2,Wahpeton Sand Plain,Observation Well,Global Position Survey,100,73,78,2918313.703,-204157.4946,943.83
