site_index,date_meas,gwe_navd88,dtw_ft,mp_elev_navd88,loc_id,aquifer,purpose,elev_type,total_depth,top_screen_depth,bottom_screen_depth,x_2265,y_2265,lse_navd88
502,31294,915.196,57.044,972.24,13304720ABDDA5,Wahpeton Sand Plain,Observation Well - Plugged,Survey 0.01 ft,120,113,118,2949515.538,-222296.6171,970.72
503,31294,937.816,34.674,972.49,13304720ABDDA6,Wahpeton Shallow Sand,Observation Well - Plugged,Survey 0.01 ft,47,36,41,2949513.465,-222260.5569,970.75
504,31299,914.53,57.09,971.62,13304720ABDDA7,Wahpeton Buried Valley,Observation Well - Plugged,Survey 0.01 ft,280,269,274,2949361.458,-222267.4976,970.97
505,31300,915.7533333,56.42666667,972.18,13304720ABDDA8,Wahpeton Sand Plain,Observation Well - Plugged,Survey 0.01 ft,120,112,117,2949361.458,-222267.4976,970.91
506,31300,937.6275,34.5025,972.13,13304720ABDDA9,Wahpeton Shallow Sand,Observation Well - Plugged,Survey 0.01 ft,60,50,55,2949336.521,-222269.8519,970.96
507,31294,915.298,58.912,974.21,13304720ABDDB1,Wahpeton Buried Valley,Observation Well - Plugged,Survey 0.01 ft,280,260,265,2949235.544,-222274.9471,972.08
508,31294,915.444,58.286,973.73,13304720ABDDB2,Wahpeton Sand Plain,Observation Well - Plugged,Survey 0.01 ft,125,114,119,2949235.544,-222274.9471,972.13
509,31294,937.838,35.592,973.43,13304720ABDDB3,Wahpeton Shallow Sand,Observation Well - Plugged,Survey 0.01 ft,50,36,41,2949235.544,-222274.9471,972.15
510,31294,964.56,7.66,972.22,13304720ABDDD,Undefined,Observation Well - Plugged,Survey 0.01 ft,10,7,9,2949441.626,-222336.5123,971.29
511,25525,957.55,12.97,970.52,13304720ACC1,Wahpeton Buried Valley,Observation Well - Destroyed,Survey 0.1 ft,265,238,244,2948531.564,-223838.1447,969.22
512,27928,964.24,7.59,971.83,13304720ACC2,Undefined,Observation Well - Destroyed,Survey 0.01 ft,0,0,25,2948667.375,-223544.9007,969.83
513,27730,964.81,6.98,971.79,13304720ACC3,Undefined,Observation Well - Plugged,Survey 0.01 ft,40,23,26,2948667.375,-223544.9007,969.79
514,27928,953.96,17.16,971.12,13304720ACD1,Undefined,Observation Well - Plugged,Survey 0.1 ft,0,0,30,2949323.787,-223512.1559,969.82
515,27644,955.81,15.31,971.12,13304720ACD2,Undefined,Observation Well - Plugged,Topographic Map,40,24,30,2949323.787,-223512.1559,969.82
516,25525,958.1,16.32,974.42,13304720ADB,Wahpeton Buried Valley,Observation Well - Destroyed,Survey 0.1 ft,260,254,260,2949683.346,-223003.7741,972.72
517,31344,918.06,57.28,975.34,13304720ADB2,Wahpeton Buried Valley,Observation Well - Destroyed,Survey 0.01 ft,277,265,270,2949649.388,-222947.7704,972.93
518,31344,918.08,56.63,974.71,13304720ADB3,Wahpeton Sand Plain,Observation Well,Survey 0.01 ft,125,115,120,2949647.26,-222910.617,973.15
520,31350,917.65,54.11,971.76,13304720ADD2,Wahpeton Buried Valley,Observation Well - Plugged,Survey 0.01 ft,275,268,273,2950771.502,-223621.7049,969.39
521,31350,917.72,53.42,971.14,13304720ADD3,Wahpeton Sand Plain,Observation Well - Plugged,Survey 0.01 ft,129,122,127,2950746.509,-223622.9679,969.72
522,32597,918.37,59.03,977.4,13304720BAACD,Wahpeton Shallow Sand,Industrial Well - Plugged,Survey 0.01 ft,0,61,67,2947922.34,-221829.0111,975.66
523,27644,958.06,10,968.06,13304720BAA1,Wahpeton Shallow Sand,Observation Well - Plugged,Survey 0.01 ft,40,23,26,2947926.073,-221390.828,966.69
524,27644,942.93,23.16,966.09,13304720BAA2,Wahpeton Sand Plain,Observation Well - Plugged,Survey 0.01 ft,140,128,134,2948099.929,-221345.5364,966.09
525,31329,938.34,28.53,966.87,13304720BAA3,Wahpeton Shallow Sand,Industrial Well,Survey 0.01 ft,45,33,36,2947956.067,-221498.9066,965.78
526,31343,916.91,50.81,967.72,13304720BAA4,Wahpeton Buried Valley,Observation Well - Plugged,Global Position Survey,267,258,263,2948124.074,-221307.4241,966.08
527,32020,908.76,61.32,970.08,13304720BABAB1,Wahpeton Sand Plain,Observation Well - Plugged,Survey 0.01 ft,120,112,117,2947243.768,-221425.5636,966.9
528,32020,930.37,35.57,965.94,13304720BABB,Wahpeton Shallow Sand,Observation Well - Destroyed,Survey 0.01 ft,66,53,63,2946966.561,-221438.7901,963.57
529,32597,924.92,60.87,985.79,13304720BADAB1,Wahpeton Shallow Sand,Observation Well - Plugged,Survey 0.01 ft,0,57,62,2948009.594,-222043.7945,983.3
530,32597,925.62,59.57,985.19,13304720BADBD1,Wahpeton Shallow Sand,Observation Well - Plugged,Survey 0.01 ft,0,52,57,2947936.795,-222120.8884,983.29
532,32597,924.53,61.01,985.54,13304720BADCA1,Wahpeton Shallow Sand,Observation Well - Plugged,Survey 0.01 ft,0,66,76,2947948.046,-222339.1364,983.23
534,32597,925.9,59.99,985.89,13304720BADCD1,Wahpeton Shallow Sand,Observation Well - Plugged,Survey 0.01 ft,0,53,58,2947955.157,-222485.2636,983.5
535,31344,918.07,59.86,977.93,13304720BAD1,Wahpeton Buried Valley,Observation Well,Survey 0.01 ft,271,255,260,2947801.395,-221945.0606,975.69
536,31344,918.04,60.61,978.65,13304720BAD2,Wahpeton Sand Plain,Observation Well,Survey 0.01 ft,150,135,140,2947801.395,-221945.0606,976
537,31344,938.17,41.12,979.29,13304720BAD3,Wahpeton Shallow Sand,Observation Well,Survey 0.01 ft,70,51,56,2947778.455,-221982.0158,976.35
539,32020,909.61,52.6,962.21,13304720BBABB1,Wahpeton Sand Plain,Observation Well - Plugged,Survey 0.01 ft,120,113,118,2946281.328,-221400.2142,960.25
540,32020,930.13,31.82,961.95,13304720BBABB2,Wahpeton Shallow Sand,Observation Well - Plugged,Survey 0.01 ft,66,58,63,2946306.337,-221399.3214,960.5
541,27644,958.05,5.92,963.97,13304720BBA2,Wahpeton Shallow Sand,Observation Well - Plugged,Survey 0.01 ft,80,56,59,2946776.949,-221704.0441,962.17
542,27644,958.21,5.6,963.81,13304720BBA3,Wahpeton Shallow Sand,Observation Well - Plugged,Survey 0.01 ft,30,23,26,2946775.891,-221667.9327,962.17
543,31329,938.2,26.81,965.01,13304720BBA4,Wahpeton Shallow Sand,Industrial Well,Survey 0.01 ft,56,34,37,2946798.777,-221629.8856,964.18
