Site_Index,Location,group_number,group,index_well_flag,Aquifer,drop_flag,drop_note,Purpose,Count,First Date,Last Date,Top Screen,Bot Screen,lat,lon,x_2265,y_2265,x_2266,y_2266,wl_avg_1965,wl_avg_2023
12134,15205504DCC2,65,65B,TRUE,Elk Valley,FALSE,,Observation Well,250,6/28/1990,10/15/2024,19,29,48.006543,-97.6979,2654271.381,379632.0563,2654420.779,865646.5039,,1116.55
12132,15205510DDD,66,66A,FALSE,Elk Valley,FALSE,,Observation Well - PRESENS,12781,6/28/1990,1/14/2025,58,63,47.99177,-97.668168,2661742.682,374513.1056,2661889.907,860521.0787,,1114.361186
12131,15205515BBB,67,67A,FALSE,Elk Valley,FALSE,,Observation Well,248,6/28/1990,11/25/2024,28,33,47.990054,-97.687024,2657151.619,373718.3618,2657297.334,859729.5103,,1118.185714
12130,15205516DDD,68,68A,TRUE,Elk Valley,FALSE,,Observation Well,243,6/28/1990,11/25/2024,48,53,47.977425,-97.6897,2656664.91,369090.7808,2656807.177,855101.3554,,1123.152857
13214,15205520AAA,69,69A,FALSE,Elk Valley,FALSE,,Observation Well,239,6/18/1991,11/25/2024,21,26,47.97569,-97.711287,2651404.12,368266.1156,2651544.754,854280.3198,,1128.86125
12129,15205521DDD,70,70A,FALSE,Elk Valley,FALSE,,Observation Well,249,6/28/1990,11/25/2024,33,38,47.962873,-97.689711,2656855.928,363786.0422,2656994.394,849795.4443,,1123.23375
12128,15205522DDD,71,71A,TRUE,Elk Valley,FALSE,,Observation Well - PRESENS,12741,6/28/1990,1/14/2025,43,48,47.961961,-97.667106,2662402.544,363656.5008,2662541.981,849661.8481,,1118.056707
13215,15205527DDD,72,72A,FALSE,Elk Valley,FALSE,,Observation Well - Plugged,122,10/6/1965,7/13/2005,28,31,47.948334,-97.668185,2662321.156,358679.3892,2662456.947,844683.8541,1111.8025,
31827,15205527DDD2,72,72B,FALSE,Elk Valley,FALSE,,Observation Well,143,8/2/2005,11/25/2024,30,35,47.949177,-97.667759,2662414.173,358990.5229,2662550.209,844994.9781,,1111.992857
13216,15205535CCC,73,73A,TRUE,Elk Valley,FALSE,,Observation Well,239,6/18/1991,11/25/2024,58,63,47.932969,-97.666813,2662863.355,353090.8354,2662995.169,839093.8785,,1118.45875
6098,15305504CCD,74,74A,FALSE,Elk Valley,FALSE,,Observation Well - Plugged,166,9/1/1965,7/13/2005,25,28,48.094344,-97.726502,2646121.139,411385.6539,2646291.492,897413.122,1138.435,
31824,15305504CCD2,74,74B,FALSE,Elk Valley,FALSE,,Observation Well,137,8/3/2005,11/26/2024,38,43,48.093513,-97.72805,2645754.008,411069.0982,2645924.046,897096.7517,,1136.614286
6099,15305505CCC,75,75A,FALSE,Elk Valley,FALSE,,Observation Well - Plugged,175,9/1/1965,7/13/2005,34,37,48.094293,-97.75092,2640158.579,411153.1097,2640327.32,897184.7611,1139.323333,
31823,15305505CCC2,75,75B,FALSE,Elk Valley,FALSE,,Observation Well,138,8/3/2005,11/26/2024,33,38,48.093515,-97.751535,2640018.514,410864.1274,2640187.017,896895.8079,,1138.33
12148,15305505CDD,76,76A,FALSE,Elk Valley,FALSE,,Observation Well,247,6/28/1990,11/26/2024,38,43,48.094319,-97.742774,2642147.618,411233.7535,2642316.899,897264.0143,,1137.3175
12151,15305506AAA,77,77A,TRUE,Elk Valley,FALSE,,Observation Well,249,6/28/1990,11/26/2024,48,53,48.10693,-97.753595,2639340.911,415736.5863,2639512.694,901769.9395,,1138.9625
13217,15305508AAA,78,78A,FALSE,Elk Valley,FALSE,,Observation Well,239,6/19/1991,11/26/2024,48,53,48.092524,-97.731888,2644829.669,410674.828,2644999.202,896703.0454,,1137.52
13218,15305509BABA,79,79A,FALSE,Elk Valley,FALSE,,Observation Well,239,6/19/1991,11/26/2024,15,20,48.092991,-97.723087,2646972.921,410922.5006,2647143.15,896949.2477,,1135.60375
12144,15305509CDD,80,80A,TRUE,Elk Valley,FALSE,,Observation Well,249,6/28/1990,11/26/2024,24,29,48.079805,-97.721056,2647642.492,406133.5524,2647809.456,892158.673,,1133.86
12141,15305515CCC,81,81A,TRUE,Elk Valley,FALSE,,Observation Well,246,6/28/1990,11/26/2024,38,43,48.064451,-97.708616,2650884.344,400646.3934,2651048.13,886667.9044,,1128.625
12143,15305516AAA,82,82A,FALSE,Elk Valley,FALSE,,Observation Well,249,6/28/1990,11/26/2024,38,43,48.07798,-97.710241,2650308.501,405563.8473,2650475.687,891586.9216,,1135.31625
12142,15305516DAA,83,83A,FALSE,Elk Valley,FALSE,,Observation Well,244,6/28/1990,11/26/2024,38,43,48.070722,-97.710207,2650412.714,402918.3211,2650578.024,888940.6989,,1130.1075
12145,15305517AAB,84,84A,FALSE,Elk Valley,FALSE,,Observation Well,247,6/28/1990,11/26/2024,41,46,48.077984,-97.734567,2644365.853,405350.8328,2644531.482,891378.1073,,1134.41
12146,15305517BAA,85,85A,FALSE,Elk Valley,FALSE,,Observation Well,248,6/28/1990,11/26/2024,28,33,48.077976,-97.742705,2642377.911,405276.586,2642543.018,891305.2565,,1135.90375
12147,15305517BBB,86,86A,FALSE,Elk Valley,FALSE,,Observation Well,248,6/28/1990,11/26/2024,28,33,48.077984,-97.750853,2640387.311,405208.2949,2640551.898,891238.3606,,1136.1575
12138,15305517DDD,87,87A,FALSE,Elk Valley,FALSE,,Observation Well - PRESENS,12745,6/28/1990,1/14/2025,21,26,48.064464,-97.730779,2645468.564,400455.4883,2645630.962,886480.8326,,1132.06842
12139,15305527BBB,88,88A,FALSE,Elk Valley,FALSE,,Observation Well,244,6/28/1990,11/26/2024,28,32,48.048972,-97.707585,2651341.002,395012.8503,2651500.842,881032.7475,,1125.964286
12140,15305527BBB2,88,88B,TRUE,Elk Valley,FALSE,,Observation Well,244,6/28/1990,11/26/2024,7,17,48.048972,-97.707585,2651341.002,395012.8503,2651500.842,881032.7475,,1125.847143
13219,15305530AAA,89,89A,FALSE,Elk Valley,FALSE,,Observation Well,239,6/18/1991,11/26/2024,27,32,48.049696,-97.752444,2640366.782,394882.1381,2640524.056,880909.8336,,1142.17875
6100,15305532AAA1,90,90A,FALSE,Elk Valley,FALSE,,Observation Well - Plugged,170,9/1/1965,7/13/2005,15,18,48.034442,-97.73191,2645585.823,389501.277,2645740.438,875524.0686,1128.734,
31826,15305532AAA2,90,90B,FALSE,Elk Valley,FALSE,,Observation Well,138,8/3/2005,11/26/2024,18,22,48.035097,-97.73074,2645863.293,389750.3421,2646018.146,875772.9906,,1131.688571
12137,15305534BBB,91,91A,FALSE,Elk Valley,FALSE,,Observation Well,249,6/28/1990,11/26/2024,27,32,48.034417,-97.707575,2651535.956,389707.1029,2651692.025,875725.6798,,1122.91875
12136,15305534DDD,92,92A,FALSE,Elk Valley,FALSE,,Observation Well,246,6/28/1990,10/15/2024,53,58,48.021725,-97.688915,2656267.191,385246.539,2656421.07,871260.7336,,1109.741667
6103,15305535BBB,93,93A,FALSE,Elk Valley,FALSE,,Observation Well - Plugged,169,9/1/1965,7/13/2005,38,41,48.034318,-97.686051,2656799.746,389862.6926,2656957.083,875877.504,1116.588,
31825,15305535BBB2,93,93B,FALSE,Elk Valley,FALSE,,Observation Well,138,8/3/2005,11/26/2024,38,43,48.03525,-97.687011,2656552.616,390193.8569,2656710.138,876208.9201,,1118.055714
13220,15405508CCC,94,94A,TRUE,Elk Valley,FALSE,,Observation Well,240,6/19/1991,11/26/2024,24,29,48.166077,-97.752104,2638935.101,437311.6617,2639122.043,923350.8873,,1128.065
6128,15405517CCC,95,95A,TRUE,Elk Valley,FALSE,,Observation Well,497,9/3/1965,11/26/2024,0,48,48.151461,-97.751885,2639178.765,431985.2731,2639362.003,918022.9017,1133.561667,1135.41
13221,15405518BBB,96,96A,TRUE,Elk Valley,FALSE,,Observation Well,236,6/19/1991,11/26/2024,45,50,48.165794,-97.773627,2633689.787,437021.8187,2633875.107,923064.6632,,1128.288571
6129,15405518CCC,97,97A,FALSE,Elk Valley,FALSE,,Observation Well - Plugged,177,9/17/1965,7/14/2005,25,28,48.15147,-97.773444,2633919.409,431801.5015,2634101.125,917842.7888,1133.306,
31822,15405518CCC2,97,97B,FALSE,Elk Valley,FALSE,,Observation Well - PRESENS,12246,8/3/2005,1/14/2025,35,40,48.151467,-97.77342,2633925.303,431800.6152,2634107.02,917841.8982,,1136.994585
12168,15405520ABB,98,98A,FALSE,Elk Valley,FALSE,,Observation Well,252,5/31/1990,11/26/2024,43,48,48.151215,-97.741288,2641767.062,431988.0778,2641950.986,918023.8719,,1137.15875
12127,15405520CDD,99,99A,FALSE,Elk Valley,FALSE,,Observation Well,253,5/29/1990,11/26/2024,45,50,48.137773,-97.742776,2641579.624,427074.7931,2641760.009,913109.4333,,1140.2975
12170,15405528CCC,100,100A,FALSE,Elk Valley,FALSE,,Observation Well,241,8/23/1990,11/26/2024,42,47,48.122453,-97.730468,2644783.851,421597.7735,2644961.161,907628.7292,,1139.735714
