def_well_id,weight
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:133_idx2:25,0.111111111
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:74_idx2:32,0.294117647
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:36_idx2:26,0.055555556
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:211_idx2:51,1
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:213_idx2:52,1
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:191_idx2:62,1
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:194_idx2:43,1
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:198_idx2:44,1
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:205_idx2:59,1
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:194_idx2:44,1
pname:defwel_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:1_idx1:208_idx2:61,1
