use_year	permit_number	permit_holder_name	pod_index	use_type	reported_acft	reported_acres	reported_rate	kwhrs	kwh_demand	begin_meter	end_meter	meter_units	comments	crop_type1	crop_type2	reported_inches	use_january	use_february	use_march	use_april	use_may	use_june	use_july	use_august	use_september	use_october	use_november	use_december	total_use
2021	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0		Well 2				6675000.0	6306000.0	7125000.0	7040000.0	8832000.0	6299000.0	0.0	0.0	664000.0	7783000.0	6738000.0	6435000.0	63897000.0
2022	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0		Well 2				6876000.0	6274000.0	7566000.0	7352000.0	8042000.0	9881000.0	10911000.0	11047000.0	9836000.0	2242000.0	0.0	0.0	80027000.0
2023	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0		Well 2				0.0	0.0	0.0	0.0	6840000.0	0.0	0.0	0.0	0.0	0.0	2694000.0	7488000.0	17022000.0
2024	1822	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						7863000.0	7347000.0	7848000.0	7953000.0	8388000.0	8551000.0	1498000.0	215000.0	6025000.0	2077000.0	7410000.0	7687000.0	72862000.0
1980	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						9784000.0	9764000.0	10866000.0	12617000.0	15488000.0	9238000.0	12982000.0	9321000.0	10258000.0	10993000.0	9187000.0	9451000.0	129949000.0
1981	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						190000.0	0.0	6682000.0	0.0	7836000.0	0.0	0.0	0.0	10713000.0	10154000.0	0.0	607000.0	36182000.0
1982	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						169000.0	172000.0	8864000.0	0.0	71000.0	0.0	0.0	0.0	0.0	14299000.0	763000.0	1687000.0	26025000.0
1983	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						510000.0	0.0	6750000.0	0.0	0.0	4340000.0	5780000.0	6830000.0	5206000.0	0.0	0.0	0.0	29416000.0
1984	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						16094000.0	0.0	0.0	0.0	2100000.0	3800000.0	5630000.0	6134000.0	2764000.0	0.0	0.0	0.0	36522000.0
1985	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						200000.0	390000.0	11795000.0	2800000.0	2200000.0	3900000.0	4200000.0	3481000.0	3212000.0	610000.0	472000.0	310000.0	33570000.0
1986	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						0.0	348000.0	9186000.0	12184000.0	0.0	0.0	2132000.0	0.0	4264000.0	2000000.0	28000000.0	30030000.0	88144000.0
