use_year	pod_index	permit_number	pod	aquifer	permit_holder_name	use_type	reported_acft	reported_acres	reported_rate	kwhrs	kwh_demand	begin_meter	end_meter	meter_units	crop_type1	crop_type2	reported_inches	total_use	comments
1992	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
1992	2571	1822	13304720ADD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	739.9	0.0	1400.0	0	0	0.0	0.0					0.0	
1992	2570	1822	13304720BBA	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	338.6	0.0	1400.0	0	0	0.0	0.0					0.0	
1993	2570	1822	13304720BBA	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	594.6	0.0	1400.0	0	0	0.0	0.0					0.0	
1993	2571	1822	13304720ADD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	537.7	0.0	1400.0	0	0	0.0	0.0					0.0	
1993	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
1994	2570	1822	13304720BBA	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	512.5	0.0	1400.0	0	0	0.0	0.0					0.0	
1994	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
1994	2571	1822	13304720ADD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	490.6	0.0	1400.0	0	0	0.0	0.0					0.0	
1995	2570	1822	13304720BBA	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	695.1	0.0	1300.0	0	0	0.0	0.0					0.0	
1995	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
1995	2571	1822	13304720ADD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	402.1	0.0	1200.0	0	0	0.0	0.0					0.0	
1996	2571	1822	13304720ADD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	636.5	0.0	1300.0	0	0	0.0	0.0					0.0	
1996	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
1996	2570	1822	13304720BBA	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	476.3	0.0	1300.0	0	0	0.0	0.0					0.0	
1997	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
1997	2570	1822	13304720BBA	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	510.5	0.0	1300.0	0	0	0.0	0.0					0.0	
1997	2571	1822	13304720ADD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	510.5	0.0	1300.0	0	0	0.0	0.0					0.0	
1998	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
1998	2571	1822	13304720ADD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	510.5	0.0	1300.0	0	0	0.0	0.0					0.0	
1998	2570	1822	13304720BBA	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	510.5	0.0	1300.0	0	0	0.0	0.0					0.0	
1999	2570	1822	13304720BBA	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	405.8	0.0	1300.0	0	0	0.0	0.0					0.0	
1999	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
1999	2571	1822	13304720ADD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	405.8	0.0	1300.0	0	0	0.0	0.0					0.0	
2000	2570	1822	13304720BBA	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	451.1	0.0	1300.0	0	0	0.0	0.0					0.0	
2000	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
