Site_Index	Location	USGS_ID	County	Basin	Aquifer	Purpose	Casing	Diameter	Measuring_Point_Elev_NVGD29	Land_Surface_Elev_NVGD29	Measuring_Point_Elev_NAVD88	Land_Surface_Elev_NAVD88	Elev_Type	Date_Drilled	Total_Depth	Bedrock_Depth	Top_Screen	Bottom_Screen	Longitude	Latitude	Coord_Type
129244	15005926AAB		Nelson	Sheyenne River	Unnamed	Observation Well	PVC	2	1492.22	1489.99	1493.41	1491.18	Global Position Survey	2015-05-26	60	20	13	18	-98.166414	47.7881	GPS - Surveyed
21977	15005926BBB		Nelson	Sheyenne River	No Obs Well Installed	Test Hole	None	0	N/A	N/A	N/A	N/A		1968-06-19	60	22	0	0	-98.181349	47.787322	Calculated
129092	15005926D		Nelson	Devils Lake Basin	Undefined	Test Well	Plastic	5	-1.19	1475.79	0	1476.98		2014-06-20	140	0	88	108	-98.16654	47.777366	Calculated
129895	15005926D2		Nelson	Sheyenne River	Undefined	Irrigation Well	Plastic	12	-1.19	1476.04	0	1477.23	DEM - Lidar	2015-04-14	120	108	77	97	-98.166801	47.777481	Digitized - Heads Up
129251	15005926DBA		Nelson	Sheyenne River	Unnamed	Observation Well - PRESENS	PVC	2	1482.36	1479.98	1483.55	1481.17	Global Position Survey	2015-05-28	72	60	37	42	-98.166062	47.781031	GPS - Surveyed
131928	15005927BCD		Nelson		McVille	Irrigation Well	PVC	12	1469.09	1469.09	1470.28	1470.28	DEM - Lidar	2017-06-16	170	0	140	170	-98.199836	47.781653	GPS - Handheld
9328	15005927CBA		Nelson	Sheyenne River	McVille	Observation Well - Plugged	PVC	1.25	1467.01	1465.58	1468.2	1466.77	Global Position Survey	1983-08-30	240	224	128	133	-98.198741	47.778903	GPS - Surveyed
128453	15005927CBA2		Nelson	Sheyenne River	McVille	Observation Well - PRESENS	PVC	2	1468.4299999999998	1465.5	1469.62	1466.69	Global Position Survey	2013-09-26	135	0	128	133	-98.198784	47.778945	GPS - Surveyed
9329	15005927CCC	474628098120601	Nelson	Sheyenne River	McVille	Observation Well - Destroyed	ABS	1.25	1441	1438	1442.19	1439.19	Topographic Map	1969-07-21	260	220	77	83	-98.202836	47.77471	Calculated
130055	15005927CDB		Nelson	Sheyenne River	McVille	Domestic Well	Plastic	5	1465.37	1465.37	1466.57	1466.57	DEM - Lidar	2008-05-05	95	0	91	95	-98.197918	47.777146	Digitized - Heads Up
9331	15005927CDD	474628098113701	Nelson	Sheyenne River	McVille	Observation Well - Plugged	ABS	1.25	1457.98	1454.8899999999999	1459.18	1456.09	Global Position Survey	1969-07-21	280	268	137	143	-98.194294	47.77386	GPS - Surveyed
128451	15005927CDD2		Nelson	Sheyenne River	McVille	Observation Well - PRESENS	PVC	2	1457.54	1455.1399999999999	1458.74	1456.34	Global Position Survey	2013-09-25	143	0	137	143	-98.194319	47.773852	GPS - Surveyed
