Site_Index	Unit	Begin_Interval	End_Interval	Description
3393	SAND & GRAVEL	0	10	60% sand, 40% gravel, sand is fine to very coarse, mostly coarse, 50% quartz, 40% carbonates, 10% granites, subrounded, gravel is fine to medium, angular to subrounded, mostly carbonates with shale, some quartz granites, oxidized, taking water, mixed 1 bag of mud
3393	SILT	10	16	sandy, no sample return
3393	SAND & GRAVEL	16	35	70% sand, 30% gravel, composition as above, some lignite, taking water, mixed 1 bag of mud
3393	CLAY	35	53	olive gray, sandy, silty, pebbles, boulders, tight, cohesive, till 
3393	SHALE	53	80	black to grayish black, indurated, tight, brittle, fractured to about 63 feet, noncalcareous, Pierre formation, bedrock
3395	TOPSOIL	0	1	Silty; sandy; brownish black
3395	CLAY	1	4	Silty (gravelly); sandy; ducky yellow to moderate yellowish brown; slightly cohesive; plastic; a few light gray layers visible in samples; (oxidized till)
3395	SAND	4	20	Very fine to medium grained; subangular to rounded; well sorted; estimate 75 to 85 % quartz; remainder being limestone, dolostone and shale; with some mudstone; taking some water; oxidized and moderate yellowish brown color
3395	SAND	20	28	Medium to very coarse; subangular to rounded; moderately well sorted; estimate 55 to 65%; remainder being mudstone, limestone, dolostone, and granitics; taking a little water; a small amount of fine to medium gravel present
3395	GRAVEL	28	41	Sandy (approximately 20 to 30% coarse to very coarse, subangular to subrounded sandy); gravel is fine to coarse; angular to rounded; fair sorting; estimate composition- 60 to 70% mudstone (medium dark gray to grayish black, non-calcareous); remainder being limestone(yellowish gray 5Y8/1); dolostone (grayish orange); granitics- pinkish, reddish and some free quartz; taking some water; caving a little
3395	CLAY	41	43	Silty; sandy; gravelly; olive gray; moderately cohesive; semi-plastic; calcareous (till)
3395	GRAVEL	43	45	Same as above
3395	SHALE	45	80	Medium dark gray to dark gray; slightly indurated to indurated; non-calcareous, fractured throughout; (Pierre Shale)
3396	TOPSOIL	0	1	
3396	TILL	1	5	yellow, about 50% gravel
3396	SAND	5	10	fine brown
3396	SAND	10	35	fine gray
3396	GRAVEL	35	40	medium
3396	SAND & GRAVEL	40	45	medium gravel to fine sand
3396	SHALE	45	59	gray cobbles
3396	CLAY	59	70	gray
3397	TOPSOIL	0	1	
3397	TILL	1	5	40% fine sand
3397	TILL	5	10	
3397	GRAVEL	10	20	medium to coarse
3397	TILL	20	25	
3397	GRAVEL	25	30	medium
3397	SAND	30	40	fine
3397	GRAVEL	40	45	medium, layered with clay
3397	GRAVEL	45	55	medium to coarse
3397	SAND & GRAVEL	55	134	
3397	CLAY	134	140	with cobbles
3397	CLAY	140	148	
3397	COBBLES	148	160	10% gravel
3398	GRAVEL	0	22	fine to medium, angular to subrounded, moderately to poorly sorted, mostly carbonates and shale, some quartz and granites, oxidized, taking water, mixed 1 mud
