start_datetime,grp.17_k.0-1_WW-CS,grp.17_k.0-2_WW-SW,grp.17_k.1-2_CS-SW,grp.18_k.0-1_WW-CS,grp.83_k.0-2_WW-SW,grp.116_k.0-2_WW-SW,grp.121_k.0-2_WW-SW,grp.123_k.0-2_WW-SW,grp.124_k.0-2_WW-SW,grp.126_k.0-2_WW-SW,grp.127_k.0-2_WW-SW,grp.215_k.1-2_CS-SW,grp.220_k.0-2_WW-SW
2007-04-01,7.295194805194569,10.913863636363885,3.618668831169316,2.039248366012771,39.932158469945534,0.11803278688535102,8.837076502732316,13.06101092896165,9.199008376689108,10.869277674159775,5.944043715847101,8.153224043715682,30.181939890710282
2007-05-01,7.974311688311445,11.137610389610245,3.1632987012987996,2.2456246498600194,39.43155269320846,0.0984320843090245,8.643579625292432,12.914929742388722,8.632059494593932,10.29749168407875,6.009361826698068,7.428416861826463,29.7375292740046
2007-06-01,8.200364935064954,12.086125974026118,3.8857610389611636,2.592778804855243,40.0188038251365,0.06698231850100456,9.924630171740773,14.403086963309988,9.73808782645483,11.632968731623578,7.359326424668325,7.781311319281485,30.116835987509603
2007-07-01,7.2444642857140025,14.772517857142702,7.5280535714287,2.6825178571430115,43.07008928571395,0.1304821428575451,14.407857142856983,19.27358928571448,14.802428571428209,17.240089285714248,11.643071428571147,10.395053571428662,31.637535714285377
2007-08-01,5.923338095238023,18.691307142856886,12.767969047618863,2.5178071428570092,46.315007142856985,0.11399761904772276,18.650357142857274,24.190835714285868,20.944176190476128,24.394707142856987,15.557966666666744,13.722802380952771,33.758538095238464
2007-09-01,5.346595238095233,17.947166666666817,12.600571428571584,2.4508690476188804,45.60429761904766,0.028619047619031335,16.498571428571722,21.996107142857,19.196892857142757,22.61829761904778,12.851142857142804,14.118928571428341,35.1371071428573
2007-10-01,5.0995238095238165,13.843654761904872,8.744130952381056,2.3362142857138224,43.15148809523794,0.04197619047636181,12.403363095238547,17.244190476190624,14.126136904762006,16.740238095238055,8.321291666666411,12.50489285714275,35.19422023809534
2007-11-01,5.378884479717499,11.69530357142844,6.316419091710941,2.156317019400376,41.58430820105832,0.042381172839441206,10.622943121693197,15.080042328042055,11.945083112874727,14.258925044091939,6.403758818341885,11.144694223986107,34.59847552910037
2007-12-01,5.804003527336818,11.1400000000001,5.3359964726632825,2.094003527336781,40.79912962962976,0.030006172839421197,9.964657407407458,14.267685185185428,11.026743827160772,13.23756790123457,5.738830246913494,10.328747795414984,34.04892195767229
2008-01-01,5.862671957672092,10.784285714285716,4.921613756613624,2.085052910052582,40.36873015873016,0.0409259259256487,9.653968253968287,13.896349206349214,10.521216931216713,12.64875661375686,5.526322751322823,9.722883597883538,33.57007936507944
2008-02-01,5.913518518518231,10.429999999999836,4.516481481481605,2.076851851851643,39.94555555555576,0.052407407407372375,9.348888888889178,13.532222222222117,10.022592592592446,12.06648148148156,5.321296296296168,9.12092592592603,33.092777777777656
